crop,N,P,K,ph,recommended_fertilizer,quantity_kg_per_acre,estimated_cost_inr,organic_alternative
apple,62.6,41.7,47.0,6.1,DAP,58.4,1576.8,Farmyard Manure (FYM)
apple,46.5,65.4,27.2,6.98,Urea,71.8,466.7,Vermicompost
apple,20.7,9.2,29.7,5.9,Urea,138.9,902.85,Farmyard Manure (FYM)
rice,65.4,77.4,88.4,6.45,Urea,37.5,243.75,Neem Cake
mothbeans,93.2,76.7,38.7,6.0,MOP,30.2,513.4,Compost + Biofertilizer
mothbeans,79.9,24.7,49.5,6.21,DAP,65.2,1760.4,Poultry Manure
mungbean,101.9,69.6,36.9,6.64,MOP,46.8,795.6,Vermicompost
lentil,71.1,20.8,59.5,7.07,DAP,68.6,1852.2,Vermicompost
muskmelon,48.2,32.2,30.6,7.32,Urea,101.4,659.1,Poultry Manure
pigeonpeas,50.8,47.6,61.7,6.54,Urea,56.0,364.0,Farmyard Manure (FYM)
maize,37.1,0.0,42.5,5.17,DAP,129.2,3488.4,Farmyard Manure (FYM)
pigeonpeas,73.8,50.3,74.7,7.2,DAP,34.9,942.3,Poultry Manure
coffee,73.7,46.0,74.8,6.02,DAP,32.2,869.4,Neem Cake
mango,44.3,34.7,59.8,6.25,Urea,75.2,488.8,Farmyard Manure (FYM)
rice,103.3,33.6,31.0,6.63,MOP,62.8,1067.6,Compost + Biofertilizer
chickpea,101.9,72.1,61.3,5.98,NPK 19-19-19,18.0,432.0,Neem Cake
pomegranate,62.4,40.0,72.3,5.83,DAP,45.2,1220.4,Farmyard Manure (FYM)
chickpea,62.6,43.3,74.6,5.29,Urea,49.3,320.45,Poultry Manure
papaya,67.7,40.0,51.6,6.48,DAP,50.8,1371.6,Compost + Biofertilizer
orange,45.9,24.3,30.1,7.28,DAP,115.6,3121.2,Vermicompost
kidneybeans,57.5,22.2,38.6,7.53,DAP,92.2,2489.4,Poultry Manure
kidneybeans,90.4,33.2,0.0,5.63,MOP,86.3,1467.1,Compost + Biofertilizer
watermelon,51.4,39.6,104.6,5.81,Urea,56.9,369.85,Farmyard Manure (FYM)
orange,140.0,15.5,46.0,6.38,DAP,72.2,1949.4,Neem Cake
mango,34.1,47.5,71.9,5.75,Urea,78.5,510.25,Poultry Manure
coconut,140.0,40.1,23.0,6.84,MOP,66.0,1122.0,Green Manure
mungbean,76.1,67.6,62.9,6.38,NPK 19-19-19,19.1,458.4,Neem Cake
mungbean,53.9,44.9,34.2,6.97,Urea,80.3,521.95,Green Manure
grapes,58.9,35.1,62.6,7.52,DAP,58.9,1590.3,Vermicompost
mungbean,49.2,51.7,47.1,5.64,Urea,70.6,458.9,Poultry Manure
mothbeans,54.5,69.2,53.7,6.52,Urea,49.0,318.5,Neem Cake
kidneybeans,39.5,44.5,54.7,6.29,Urea,78.8,512.2,Vermicompost
coffee,38.8,49.8,44.7,6.17,Urea,85.0,552.5,Neem Cake
chickpea,66.3,21.3,64.7,4.75,DAP,74.1,2000.7,Green Manure
orange,39.5,55.0,25.1,6.09,Urea,87.4,568.1,Vermicompost
lentil,34.0,43.9,45.6,6.51,Urea,87.1,566.15,Poultry Manure
jute,54.1,34.9,47.5,6.28,Urea,72.6,471.9,Neem Cake
coffee,70.8,62.4,62.5,6.2,Urea,20.8,135.2,Green Manure
muskmelon,66.9,45.8,47.7,5.84,DAP,55.5,1498.5,Green Manure
blackgram,59.1,51.6,67.0,6.4,Urea,47.3,307.45,Poultry Manure
cotton,54.4,22.6,47.2,5.37,DAP,87.5,2362.5,Farmyard Manure (FYM)
rice,77.6,2.8,35.4,5.52,DAP,95.0,2565.0,Vermicompost
chickpea,56.2,22.1,41.6,8.04,DAP,80.8,2181.6,Farmyard Manure (FYM)
papaya,78.1,31.6,59.4,6.25,DAP,39.2,1058.4,Neem Cake
pigeonpeas,49.0,36.0,49.4,7.7,Urea,71.5,464.75,Compost + Biofertilizer
coconut,61.1,45.5,36.0,6.38,MOP,64.6,1098.2,Vermicompost
lentil,91.0,41.0,61.5,6.16,DAP,41.2,1112.4,Compost + Biofertilizer
cotton,42.0,42.6,67.4,6.25,Urea,75.2,488.8,Compost + Biofertilizer
coconut,85.2,48.9,49.5,6.23,DAP,47.9,1293.3,Compost + Biofertilizer
watermelon,71.3,47.7,42.4,6.15,MOP,52.7,895.9,Vermicompost
grapes,71.3,57.3,62.0,6.5,Urea,21.9,142.35,Green Manure
watermelon,6.1,57.3,23.7,6.8,Urea,122.4,795.6,Poultry Manure
pomegranate,73.8,47.9,33.2,6.33,MOP,59.7,1014.9,Neem Cake
cotton,58.5,29.1,79.7,6.17,DAP,63.3,1709.1,Neem Cake
jute,81.4,59.9,71.9,5.87,NPK 19-19-19,18.1,434.4,Neem Cake
papaya,46.5,0.0,71.3,5.72,DAP,100.1,2702.7,Neem Cake
apple,109.3,26.3,69.2,6.71,DAP,61.5,1660.5,Neem Cake
pigeonpeas,73.2,42.7,38.7,6.53,MOP,66.9,1137.3,Green Manure
mungbean,66.2,55.4,43.3,4.99,MOP,52.1,885.7,Farmyard Manure (FYM)
pigeonpeas,67.3,35.3,10.3,6.47,MOP,95.2,1618.4,Farmyard Manure (FYM)
blackgram,42.8,79.6,41.5,8.66,Urea,70.9,460.85,Compost + Biofertilizer
lentil,94.9,40.2,32.3,6.75,MOP,57.9,984.3,Neem Cake
papaya,108.0,52.9,54.1,5.58,DAP,38.2,1031.4,Compost + Biofertilizer
banana,43.7,19.2,39.5,6.08,DAP,110.6,2986.2,Neem Cake
apple,25.0,24.6,27.0,6.26,Urea,125.6,816.4,Vermicompost
mungbean,64.5,37.1,77.1,7.06,DAP,47.9,1293.3,Compost + Biofertilizer
coffee,47.0,59.1,19.0,5.7,MOP,83.8,1424.6,Neem Cake
jute,27.5,0.0,49.4,7.68,DAP,129.8,3504.6,Vermicompost
cotton,98.9,30.3,62.9,5.57,DAP,47.6,1285.2,Neem Cake
jute,36.5,34.0,13.4,6.56,MOP,125.7,2136.9,Vermicompost
maize,29.4,62.3,56.6,7.55,Urea,66.6,432.9,Compost + Biofertilizer
mango,56.6,61.9,16.6,7.37,MOP,75.6,1285.2,Neem Cake
pigeonpeas,70.5,49.4,46.9,6.33,MOP,50.5,858.5,Poultry Manure
kidneybeans,36.7,6.0,68.8,7.02,DAP,103.5,2794.5,Farmyard Manure (FYM)
papaya,60.6,50.8,71.9,6.37,Urea,47.8,310.7,Compost + Biofertilizer
maize,43.5,28.9,36.0,6.68,Urea,103.4,672.1,Neem Cake
chickpea,40.2,18.6,89.6,6.45,DAP,91.3,2465.1,Neem Cake
chickpea,11.2,39.9,47.6,6.3,Urea,104.3,677.95,Compost + Biofertilizer
lentil,47.2,51.2,46.4,5.8,Urea,68.9,447.85,Farmyard Manure (FYM)
lentil,56.7,50.7,24.5,5.96,MOP,80.5,1368.5,Farmyard Manure (FYM)
rice,0.0,22.6,34.0,5.84,Urea,155.2,1008.8,Compost + Biofertilizer
watermelon,21.4,54.5,60.2,7.27,Urea,86.2,560.3,Compost + Biofertilizer
grapes,62.8,15.6,29.3,6.71,DAP,102.5,2767.5,Green Manure
chickpea,48.0,0.0,73.4,6.53,DAP,103.0,2781.0,Compost + Biofertilizer
apple,77.8,61.4,79.0,5.58,NPK 10-26-26,16.7,384.1,Compost + Biofertilizer
coconut,32.2,65.2,76.1,5.56,Urea,60.8,395.2,Poultry Manure
mothbeans,74.7,51.1,57.6,5.9,DAP,29.7,801.9,Farmyard Manure (FYM)
watermelon,31.8,65.6,47.1,5.11,Urea,67.1,436.15,Poultry Manure
rice,40.3,17.7,51.4,5.11,DAP,100.1,2702.7,Green Manure
cotton,91.4,30.5,23.3,7.24,MOP,76.6,1302.2,Poultry Manure
orange,57.2,60.3,53.6,6.64,Urea,43.9,285.35,Compost + Biofertilizer
banana,21.8,72.4,61.8,6.44,Urea,72.9,473.85,Compost + Biofertilizer
blackgram,40.2,5.6,68.2,7.72,DAP,108.6,2932.2,Vermicompost
rice,64.8,10.5,36.6,8.07,DAP,101.6,2743.2,Poultry Manure
orange,71.0,78.6,52.8,6.95,Urea,41.6,270.4,Farmyard Manure (FYM)
maize,92.6,32.7,35.7,5.8,DAP,66.7,1800.9,Green Manure
rice,79.5,14.9,25.9,6.99,DAP,85.9,2319.3,Green Manure
mothbeans,28.9,22.0,24.4,6.57,Urea,141.8,921.7,Green Manure
lentil,59.5,70.7,52.2,6.36,Urea,53.4,347.1,Neem Cake
papaya,88.8,53.3,18.6,7.11,MOP,63.9,1086.3,Poultry Manure
cotton,39.8,75.1,10.2,6.71,MOP,93.8,1594.6,Poultry Manure
chickpea,51.4,57.0,42.7,4.99,Urea,70.4,457.6,Green Manure
lentil,82.9,38.0,32.1,6.14,MOP,54.0,918.0,Green Manure
rice,86.6,47.2,73.9,5.6,DAP,26.5,715.5,Compost + Biofertilizer
coconut,39.5,54.1,77.2,5.14,Urea,57.1,371.15,Vermicompost
mango,34.1,47.5,61.2,6.12,Urea,65.7,427.05,Vermicompost
watermelon,106.4,46.5,61.3,5.2,DAP,36.4,982.8,Farmyard Manure (FYM)
grapes,60.9,55.4,59.1,6.4,Urea,44.9,291.85,Green Manure
orange,56.6,18.2,35.6,5.08,DAP,106.1,2864.7,Neem Cake
coconut,69.2,31.1,49.7,6.56,DAP,71.2,1922.4,Poultry Manure
rice,66.1,27.7,73.0,4.78,DAP,64.1,1730.7,Farmyard Manure (FYM)
mungbean,77.2,63.8,20.6,6.54,MOP,69.2,1176.4,Vermicompost
papaya,56.0,26.6,27.4,7.29,DAP,102.8,2775.6,Farmyard Manure (FYM)
coffee,52.0,45.1,78.5,6.93,Urea,59.6,387.4,Neem Cake
apple,62.5,40.1,52.3,6.55,DAP,54.3,1466.1,Farmyard Manure (FYM)
cotton,69.5,33.7,17.9,7.2,MOP,88.7,1507.9,Neem Cake
kidneybeans,75.7,43.6,21.5,5.51,MOP,79.9,1358.3,Farmyard Manure (FYM)
pomegranate,50.8,45.0,84.9,6.24,Urea,77.9,506.35,Farmyard Manure (FYM)
coconut,46.2,67.3,33.2,6.37,Urea,81.8,531.7,Poultry Manure
mango,97.9,67.5,55.8,7.73,NPK 19-19-19,21.9,525.6,Green Manure
orange,97.2,39.9,57.7,5.33,DAP,40.3,1088.1,Farmyard Manure (FYM)
mango,65.1,56.6,42.2,6.45,MOP,52.3,889.1,Green Manure
apple,69.7,21.1,42.0,6.81,DAP,79.7,2151.9,Poultry Manure
banana,82.3,9.2,58.4,6.56,DAP,70.3,1898.1,Vermicompost
coconut,90.0,32.5,27.1,6.58,MOP,73.3,1246.1,Vermicompost
pigeonpeas,55.0,25.3,56.5,7.87,DAP,72.2,1949.4,Compost + Biofertilizer
papaya,10.1,37.0,11.3,5.55,Urea,149.8,973.7,Neem Cake
jute,43.5,49.9,42.1,7.11,Urea,76.3,495.95,Compost + Biofertilizer
maize,61.2,0.0,74.6,6.43,DAP,85.2,2300.4,Compost + Biofertilizer
mothbeans,104.5,47.8,37.8,6.39,MOP,49.6,843.2,Green Manure
kidneybeans,113.6,45.1,36.4,8.19,MOP,45.6,775.2,Neem Cake
pomegranate,63.9,35.7,13.9,5.45,MOP,104.4,1774.8,Farmyard Manure (FYM)
apple,66.3,37.0,63.6,7.52,DAP,59.4,1603.8,Green Manure
chickpea,56.1,17.0,40.8,5.99,DAP,99.4,2683.8,Farmyard Manure (FYM)
mungbean,34.1,48.0,73.0,6.69,Urea,71.8,466.7,Green Manure
coconut,92.3,69.5,70.5,6.04,NPK 10-26-26,27.3,627.9,Neem Cake
maize,51.2,70.1,70.5,7.71,Urea,57.2,371.8,Green Manure
mungbean,47.8,35.9,42.4,6.69,Urea,87.5,568.75,Neem Cake
rice,60.7,14.9,75.1,7.08,DAP,78.2,2111.4,Neem Cake
grapes,55.9,79.0,12.9,7.21,MOP,92.4,1570.8,Poultry Manure
cotton,38.8,46.0,70.9,6.62,Urea,72.5,471.25,Neem Cake
coconut,39.8,0.9,72.2,5.27,DAP,109.1,2945.7,Green Manure
blackgram,63.0,32.3,60.1,7.01,DAP,53.3,1439.1,Neem Cake
watermelon,36.1,33.1,74.0,6.25,Urea,80.3,521.95,Neem Cake
coconut,71.5,92.1,35.2,7.07,MOP,49.4,839.8,Farmyard Manure (FYM)
mango,26.4,53.1,60.9,6.79,Urea,77.0,500.5,Poultry Manure
pomegranate,39.2,23.1,72.2,5.32,Urea,89.8,583.7,Green Manure
watermelon,44.3,42.4,33.6,7.16,Urea,89.3,580.45,Vermicompost
coconut,32.9,36.3,55.9,7.08,Urea,94.7,615.55,Neem Cake
pomegranate,48.2,22.2,64.3,6.07,DAP,87.8,2370.6,Vermicompost
muskmelon,70.2,44.1,46.0,5.85,DAP,59.1,1595.7,Farmyard Manure (FYM)
cotton,78.8,41.7,44.8,6.35,DAP,63.1,1703.7,Neem Cake
papaya,42.3,56.2,19.2,6.98,MOP,92.7,1575.9,Poultry Manure
cotton,76.2,49.2,16.6,7.67,MOP,72.5,1232.5,Neem Cake
muskmelon,48.4,69.5,45.8,5.49,Urea,60.5,393.25,Green Manure
pomegranate,30.4,64.7,26.0,5.34,Urea,95.2,618.8,Farmyard Manure (FYM)
watermelon,55.2,38.7,81.4,6.63,Urea,64.1,416.65,Compost + Biofertilizer
blackgram,85.4,38.8,41.5,7.18,DAP,59.6,1609.2,Poultry Manure
orange,36.3,60.4,27.9,7.56,Urea,93.9,610.35,Green Manure
blackgram,2.4,7.7,19.4,7.1,Urea,172.0,1118.0,Farmyard Manure (FYM)
orange,113.1,17.4,75.0,5.78,DAP,58.8,1587.6,Compost + Biofertilizer
chickpea,52.3,38.0,49.0,6.33,Urea,75.4,490.1,Green Manure
pomegranate,62.5,55.6,34.1,8.12,MOP,55.4,941.8,Poultry Manure
grapes,59.0,41.7,28.8,5.08,MOP,75.0,1275.0,Vermicompost
muskmelon,35.7,49.0,32.6,5.12,Urea,88.1,572.65,Neem Cake
grapes,58.4,54.9,64.5,5.76,Urea,43.5,282.75,Compost + Biofertilizer
orange,73.5,37.9,49.0,6.79,DAP,50.6,1366.2,Farmyard Manure (FYM)
cotton,45.7,34.1,18.8,6.22,MOP,109.9,1868.3,Vermicompost
muskmelon,34.3,46.6,26.1,6.51,Urea,101.0,656.5,Farmyard Manure (FYM)
mungbean,92.5,25.7,52.0,5.71,DAP,59.5,1606.5,Poultry Manure
maize,68.1,56.9,45.0,6.12,MOP,46.3,787.1,Poultry Manure
maize,33.0,51.8,76.0,5.39,Urea,70.3,456.95,Farmyard Manure (FYM)
pigeonpeas,83.5,42.6,11.6,5.93,MOP,79.5,1351.5,Compost + Biofertilizer
maize,58.5,20.1,46.1,6.39,DAP,87.5,2362.5,Vermicompost
apple,44.2,51.3,11.4,5.38,MOP,105.7,1796.9,Neem Cake
mothbeans,36.0,67.1,79.5,7.43,Urea,66.3,430.95,Green Manure
jute,55.7,37.5,77.8,6.16,Urea,57.6,374.4,Compost + Biofertilizer
grapes,41.5,50.4,66.0,7.47,Urea,66.7,433.55,Neem Cake
lentil,19.2,67.0,55.2,6.3,Urea,77.5,503.75,Green Manure
apple,104.9,70.7,13.0,6.94,MOP,68.0,1156.0,Poultry Manure
chickpea,51.8,37.6,4.7,7.62,MOP,104.9,1783.3,Farmyard Manure (FYM)
mungbean,62.4,23.5,68.3,6.51,DAP,64.2,1733.4,Vermicompost
mungbean,47.3,27.8,34.2,6.46,Urea,104.0,676.0,Green Manure
lentil,73.7,27.1,38.4,6.05,DAP,76.4,2062.8,Green Manure
muskmelon,58.1,56.5,39.1,7.31,Urea,70.5,458.25,Neem Cake
blackgram,68.4,45.3,77.1,6.67,DAP,44.7,1206.9,Poultry Manure
grapes,53.4,74.6,44.1,8.82,Urea,56.9,369.85,Vermicompost
pigeonpeas,0.0,29.3,62.9,6.28,Urea,118.0,767.0,Farmyard Manure (FYM)
jute,35.5,40.4,77.2,7.46,Urea,80.9,525.85,Poultry Manure
mothbeans,35.5,56.9,33.0,6.25,Urea,89.1,579.15,Neem Cake
pomegranate,46.5,46.4,103.0,6.5,Urea,62.6,406.9,Green Manure
kidneybeans,52.5,59.0,37.0,6.9,Urea,62.5,406.25,Green Manure
watermelon,16.2,69.2,56.8,5.73,Urea,79.2,514.8,Green Manure
lentil,46.0,14.3,62.1,5.42,DAP,95.0,2565.0,Poultry Manure
mothbeans,49.1,67.9,53.9,5.58,Urea,52.6,341.9,Compost + Biofertilizer
kidneybeans,5.8,22.0,85.1,6.56,Urea,121.4,789.1,Poultry Manure
apple,60.4,43.8,47.6,6.16,Urea,68.2,443.3,Green Manure
chickpea,79.1,52.6,60.6,6.52,DAP,24.4,658.8,Neem Cake
apple,65.0,51.0,13.4,6.05,MOP,78.0,1326.0,Green Manure
mungbean,62.3,51.3,23.2,8.35,MOP,72.2,1227.4,Green Manure
orange,44.0,48.0,54.7,5.66,Urea,74.2,482.3,Poultry Manure
mungbean,84.3,45.2,42.2,7.5,MOP,47.2,802.4,Neem Cake
rice,76.1,48.1,6.7,7.4,MOP,83.4,1417.8,Poultry Manure
watermelon,40.5,62.7,82.6,6.62,Urea,55.4,360.1,Vermicompost
kidneybeans,109.7,92.2,89.1,6.58,NPK 19-19-19,27.5,660.0,Green Manure
banana,38.7,70.2,45.8,6.69,Urea,71.9,467.35,Compost + Biofertilizer
muskmelon,28.3,30.8,81.2,5.73,Urea,94.5,614.25,Compost + Biofertilizer
cotton,58.9,45.7,51.4,6.13,Urea,62.6,406.9,Neem Cake
pigeonpeas,72.6,12.8,57.1,7.76,DAP,68.6,1852.2,Neem Cake
jute,83.5,32.0,81.6,6.1,DAP,42.3,1142.1,Farmyard Manure (FYM)
apple,54.5,40.7,24.9,6.53,MOP,99.8,1696.6,Poultry Manure
rice,62.1,58.2,50.7,6.75,Urea,45.2,293.8,Compost + Biofertilizer
rice,119.9,54.1,59.9,7.19,DAP,18.6,502.2,Neem Cake
muskmelon,38.6,54.7,73.5,6.74,Urea,70.7,459.55,Neem Cake
mungbean,32.5,29.0,44.6,7.48,Urea,96.9,629.85,Neem Cake
