farmer_id,state,crop,season,land_size_acres,experience_years,irrigation_type,yield_quintal_per_acre,market_price_per_quintal,estimated_revenue_inr
F05167,Rajasthan,watermelon,Rabi,0.86,12,Borewell,25.18,1318.07,28542.54
F00473,Andhra Pradesh,watermelon,Kharif,1.0,22,Rain-fed,18.86,2763.76,52124.51
F01703,Rajasthan,mothbeans,Zaid,2.12,13,Rain-fed,20.09,2687.81,114475.98
F01050,Maharashtra,pigeonpeas,Kharif,2.19,20,Sprinkler,14.4,706.51,22280.5
F02776,Andhra Pradesh,banana,Rabi,3.64,15,Borewell,12.78,2205.87,102615.31
F04749,Haryana,jute,Zaid,2.21,24,Canal,15.55,3141.35,107954.06
F02223,Bihar,cotton,Kharif,0.65,10,Sprinkler,32.57,2305.41,48806.68
F02918,Maharashtra,coffee,Kharif,1.89,15,Canal,17.73,2277.45,76316.67
F04450,Karnataka,watermelon,Zaid,0.79,9,Drip,3.32,2947.94,7731.86
F04611,Rajasthan,mothbeans,Zaid,3.06,9,Rain-fed,32.77,1975.2,198065.55
F02659,Tamil Nadu,pigeonpeas,Rabi,4.68,15,Canal,11.42,2482.95,132702.75
F04568,Tamil Nadu,apple,Rabi,4.48,23,Borewell,20.4,1348.02,123198.24
F02806,Gujarat,maize,Kharif,3.02,27,Rain-fed,6.66,3101.04,62371.84
F01621,Punjab,coconut,Rabi,9.63,9,Rain-fed,11.66,1418.47,159274.04
F04911,Tamil Nadu,mothbeans,Zaid,0.36,15,Canal,12.51,2674.85,12046.45
F04715,Bihar,chickpea,Rabi,2.59,0,Borewell,26.68,2417.65,167062.52
F04849,Gujarat,mango,Zaid,9.14,12,Drip,13.34,3106.01,378708.34
F04309,Andhra Pradesh,coconut,Kharif,6.34,25,Canal,19.61,1228.32,152713.83
F05196,Madhya Pradesh,chickpea,Kharif,1.13,15,Sprinkler,20.55,2076.89,48228.5
F02630,Maharashtra,banana,Kharif,6.18,18,Sprinkler,17.12,2151.73,227656.48
F01943,Andhra Pradesh,banana,Rabi,6.66,3,Drip,16.8,2355.99,263607.01
F01554,Uttar Pradesh,apple,Zaid,4.58,8,Drip,25.8,1927.16,227720.93
F01838,Gujarat,maize,Zaid,0.92,5,Canal,11.65,2143.76,22976.82
F04432,Tamil Nadu,jute,Kharif,1.93,13,Drip,17.04,3094.0,101753.0
F03274,Punjab,kidneybeans,Zaid,2.47,18,Drip,11.06,2747.9,75067.68
F02586,West Bengal,maize,Zaid,1.63,13,Sprinkler,22.99,1726.72,64706.59
F00133,Haryana,blackgram,Zaid,2.7,5,Sprinkler,8.34,1886.19,42473.23
F04825,Andhra Pradesh,pomegranate,Kharif,1.67,11,Sprinkler,10.53,935.43,16449.63
F01753,Tamil Nadu,chickpea,Zaid,9.45,0,Borewell,15.26,2841.67,409788.71
F01570,West Bengal,lentil,Kharif,1.05,9,Rain-fed,26.47,1612.61,44820.08
F01039,Karnataka,papaya,Rabi,4.0,17,Drip,15.9,2821.64,179456.3
F02771,Madhya Pradesh,jute,Rabi,2.77,28,Drip,11.54,2277.24,72793.8
F01819,Gujarat,pigeonpeas,Rabi,1.47,11,Drip,11.63,1274.83,21794.62
F03221,Gujarat,orange,Kharif,4.93,16,Sprinkler,9.84,1699.75,82456.91
F04097,Haryana,lentil,Zaid,4.24,12,Rain-fed,13.79,1141.49,66742.46
F00152,Haryana,lentil,Rabi,5.89,8,Drip,7.97,1072.42,50342.93
F01938,Punjab,coconut,Kharif,1.49,12,Canal,17.57,1988.78,52064.87
F01619,Madhya Pradesh,muskmelon,Rabi,2.34,14,Borewell,34.59,2205.81,178539.58
F03306,Madhya Pradesh,rice,Kharif,0.65,17,Borewell,12.91,1365.32,11457.08
F00487,Punjab,chickpea,Kharif,1.63,15,Rain-fed,23.53,2044.01,78395.76
F04459,Karnataka,maize,Rabi,5.38,11,Canal,13.46,2740.0,198416.55
F03423,Haryana,mothbeans,Zaid,3.78,3,Drip,13.58,1986.96,101995.43
F01927,Punjab,rice,Kharif,7.17,13,Rain-fed,15.26,2341.36,256178.03
F04561,Gujarat,chickpea,Zaid,6.93,14,Drip,22.43,3317.36,515650.11
F00030,Uttar Pradesh,cotton,Rabi,5.54,2,Borewell,23.1,2492.23,318940.64
F00066,Punjab,lentil,Rabi,4.97,6,Canal,18.31,2959.79,269342.96
F02224,Maharashtra,mungbean,Rabi,1.4,9,Canal,16.21,1507.38,34208.48
F01486,Madhya Pradesh,maize,Rabi,1.67,23,Sprinkler,14.99,2144.78,53690.92
F04916,Punjab,chickpea,Rabi,1.11,9,Rain-fed,19.77,1297.0,28462.28
F01159,Karnataka,blackgram,Rabi,3.94,13,Canal,14.22,2591.76,145208.02
F04558,Rajasthan,blackgram,Rabi,4.19,24,Canal,3.31,1609.97,22328.51
F04909,Rajasthan,kidneybeans,Kharif,2.2,28,Drip,6.3,2686.02,37228.24
F00545,Tamil Nadu,jute,Zaid,8.32,29,Sprinkler,20.6,1893.55,324539.32
F01814,Uttar Pradesh,kidneybeans,Rabi,5.05,9,Borewell,12.79,2713.41,175257.8
F02306,Haryana,coconut,Zaid,0.9,3,Canal,13.63,1558.56,19118.86
F04819,Haryana,orange,Rabi,3.66,21,Canal,16.6,2769.44,168260.1
F04504,Gujarat,coconut,Kharif,0.53,16,Canal,18.78,1706.99,16990.35
F00241,Bihar,pigeonpeas,Rabi,1.35,19,Borewell,17.97,3023.09,73338.65
F03362,Maharashtra,orange,Kharif,1.92,22,Rain-fed,22.28,2441.41,104437.66
F00777,Maharashtra,maize,Zaid,3.68,7,Canal,24.04,1566.93,138621.91
F03047,Tamil Nadu,maize,Rabi,2.42,20,Borewell,22.1,2349.73,125668.26
F04518,Bihar,coffee,Kharif,0.7,7,Canal,21.94,1894.55,29096.5
F03785,Maharashtra,lentil,Kharif,0.66,0,Canal,18.55,2026.39,24809.09
F00627,West Bengal,jute,Kharif,0.94,14,Rain-fed,21.89,870.16,17904.93
F04897,Maharashtra,mango,Rabi,0.8,2,Borewell,29.66,3410.18,80916.75
F02519,West Bengal,coconut,Rabi,8.42,18,Canal,19.86,2082.81,348289.99
F04817,Gujarat,lentil,Zaid,5.14,29,Rain-fed,15.46,3074.4,244305.35
F01823,Andhra Pradesh,kidneybeans,Zaid,2.1,4,Rain-fed,20.35,1885.49,80576.42
F01426,Punjab,maize,Rabi,3.23,8,Canal,18.07,2781.67,162355.23
F03379,Maharashtra,pomegranate,Rabi,17.1,11,Drip,15.0,2133.43,547224.79
F02802,Bihar,mungbean,Rabi,6.13,11,Canal,21.8,2796.96,373768.95
F05027,Punjab,maize,Zaid,1.21,0,Sprinkler,10.82,1996.28,26135.7
F00486,Punjab,muskmelon,Zaid,3.95,2,Sprinkler,11.28,2983.0,132910.55
F02464,Uttar Pradesh,maize,Kharif,1.63,12,Drip,14.06,1965.81,45052.04
F00590,Maharashtra,coffee,Zaid,0.63,24,Canal,18.98,2202.27,26333.42
F03185,Maharashtra,blackgram,Zaid,5.8,12,Borewell,14.21,2459.78,202730.15
F00034,Rajasthan,pigeonpeas,Kharif,4.11,11,Canal,23.63,1068.86,103806.93
F04962,Tamil Nadu,apple,Kharif,3.15,22,Sprinkler,14.19,2852.1,127484.59
F04344,Tamil Nadu,mothbeans,Kharif,2.58,4,Sprinkler,20.78,2200.94,117997.68
F02390,Maharashtra,apple,Rabi,1.43,11,Drip,17.37,1611.5,40028.21
F02834,Tamil Nadu,watermelon,Kharif,0.51,24,Borewell,27.31,2001.12,27871.8
F02216,Punjab,jute,Zaid,1.52,39,Sprinkler,21.03,3280.93,104876.9
F04007,Uttar Pradesh,lentil,Zaid,3.88,14,Borewell,15.14,2046.68,120228.53
F03985,Punjab,chickpea,Rabi,7.78,19,Rain-fed,21.75,1847.18,312570.56
F00228,Uttar Pradesh,blackgram,Kharif,2.32,16,Canal,18.58,2077.32,89544.12
F04628,Uttar Pradesh,apple,Rabi,1.63,13,Drip,22.11,1782.27,64231.76
F03976,Madhya Pradesh,mango,Rabi,1.28,18,Sprinkler,15.96,1947.31,39781.21
F01594,West Bengal,muskmelon,Zaid,2.99,24,Canal,19.41,2559.44,148539.4
F01821,Bihar,orange,Zaid,0.81,0,Sprinkler,13.4,3588.36,38948.06
F02880,Tamil Nadu,watermelon,Rabi,3.93,34,Rain-fed,14.8,1489.07,86610.27
F02982,Madhya Pradesh,muskmelon,Rabi,0.8,23,Canal,22.02,3852.33,67862.65
F04553,Haryana,rice,Rabi,6.08,3,Drip,14.38,1391.37,121648.04
F01455,Punjab,orange,Kharif,3.18,5,Borewell,16.1,2951.64,151118.06
F03894,Punjab,kidneybeans,Zaid,1.64,18,Sprinkler,12.31,1593.84,32177.08
F00600,Gujarat,watermelon,Zaid,6.83,21,Borewell,24.8,2802.83,474754.56
F04372,Andhra Pradesh,pigeonpeas,Kharif,8.28,6,Borewell,17.01,2993.75,421648.13
F00347,Haryana,pomegranate,Rabi,3.41,18,Rain-fed,22.41,2683.84,205093.95
F00562,Madhya Pradesh,mungbean,Zaid,0.95,7,Rain-fed,17.71,500.0,8412.25
F04016,Andhra Pradesh,jute,Rabi,2.74,12,Drip,17.3,2898.04,137372.89
F03033,Haryana,lentil,Rabi,1.88,14,Sprinkler,20.66,1530.67,59452.45
F01216,Maharashtra,lentil,Kharif,6.2,0,Drip,11.65,1358.0,98088.34
F02334,Uttar Pradesh,cotton,Kharif,4.04,14,Drip,13.09,1981.74,104801.55
F01243,Punjab,maize,Rabi,1.48,8,Sprinkler,20.52,979.92,29759.78
F02281,Uttar Pradesh,blackgram,Rabi,1.38,6,Sprinkler,18.63,2351.25,60449.23
F04963,Tamil Nadu,pigeonpeas,Zaid,4.39,2,Sprinkler,9.22,1231.68,49853.23
F04524,Rajasthan,watermelon,Rabi,5.82,7,Borewell,17.27,2335.68,234762.47
F01437,Maharashtra,lentil,Rabi,5.06,12,Borewell,18.93,2841.55,272180.14
F01946,Uttar Pradesh,lentil,Zaid,0.52,27,Borewell,20.48,2241.59,23872.04
F04009,Haryana,mothbeans,Rabi,0.61,18,Sprinkler,18.79,1484.73,17017.83
F04694,Tamil Nadu,mothbeans,Rabi,2.61,18,Canal,16.87,1970.5,86762.49
F02955,Maharashtra,apple,Zaid,4.91,32,Sprinkler,21.27,929.14,97035.39
F00297,Maharashtra,apple,Rabi,9.88,14,Canal,15.75,2382.14,370684.81
F02933,Punjab,grapes,Zaid,1.43,2,Borewell,29.01,2443.57,101369.79
F00997,Haryana,lentil,Rabi,0.84,15,Canal,22.02,2752.29,50908.56
F04051,West Bengal,orange,Zaid,2.44,0,Drip,32.76,2679.27,214165.84
F04273,Madhya Pradesh,apple,Zaid,3.23,23,Drip,13.71,2191.23,97034.9
F02857,Karnataka,grapes,Kharif,4.99,8,Canal,27.12,2026.69,274269.53
F02154,Punjab,papaya,Kharif,0.59,28,Drip,22.21,2615.95,34279.15
F01567,Maharashtra,pigeonpeas,Kharif,2.89,11,Canal,14.06,2382.28,96800.14
F03805,Bihar,banana,Kharif,2.21,3,Rain-fed,23.46,1727.61,89570.7
F05174,Gujarat,muskmelon,Kharif,2.98,13,Sprinkler,16.32,2769.85,134707.78
F04595,Punjab,apple,Rabi,0.47,14,Canal,12.94,2548.66,15500.44
F01320,Bihar,orange,Rabi,4.38,25,Drip,15.44,2214.55,149763.82
F02227,Haryana,papaya,Rabi,0.55,8,Canal,9.0,1968.39,9743.53
F02838,Gujarat,chickpea,Zaid,7.34,16,Drip,9.11,2629.57,175832.51
F01887,Madhya Pradesh,coffee,Rabi,3.2,3,Borewell,9.09,1989.43,57868.54
F03572,Haryana,mango,Kharif,5.71,19,Drip,9.75,2389.81,133046.7
F04536,Maharashtra,mango,Kharif,2.0,7,Sprinkler,22.31,1978.07,88261.48
F02471,Madhya Pradesh,kidneybeans,Rabi,0.81,13,Canal,22.0,1360.03,24235.73
F03352,Punjab,watermelon,Rabi,0.56,16,Canal,22.48,3319.64,41790.28
F02524,West Bengal,grapes,Zaid,1.63,19,Borewell,12.06,2693.39,52946.12
F02504,Haryana,kidneybeans,Rabi,2.91,10,Canal,13.11,1916.84,73127.64
F00945,Andhra Pradesh,pigeonpeas,Rabi,1.7,14,Rain-fed,16.62,2931.05,82813.89
F00085,Andhra Pradesh,pigeonpeas,Rabi,1.37,9,Borewell,16.37,2585.43,57983.18
F02241,Uttar Pradesh,mothbeans,Zaid,2.72,0,Canal,19.37,1693.12,89204.4
F00765,Punjab,lentil,Zaid,2.59,14,Sprinkler,30.11,3202.09,249714.67
F01421,Uttar Pradesh,apple,Zaid,3.53,10,Borewell,9.63,1665.26,56608.68
F04026,Tamil Nadu,lentil,Kharif,1.64,17,Rain-fed,11.72,977.97,18797.37
F01011,Gujarat,papaya,Kharif,1.16,22,Rain-fed,12.23,1515.95,21506.48
F03241,Gujarat,rice,Kharif,4.38,25,Rain-fed,19.61,1461.47,125528.29
F00808,Punjab,coconut,Rabi,3.31,4,Canal,11.27,2529.35,94354.11
F02944,Madhya Pradesh,papaya,Rabi,1.45,1,Drip,14.71,2586.64,55171.74
F02940,Madhya Pradesh,chickpea,Rabi,1.63,13,Rain-fed,16.1,1999.13,52463.17
F00107,Punjab,kidneybeans,Rabi,2.21,0,Sprinkler,25.01,1370.55,75753.18
F01095,Tamil Nadu,muskmelon,Kharif,1.57,11,Rain-fed,16.39,3137.58,80737.15
F02820,Uttar Pradesh,kidneybeans,Zaid,5.56,14,Borewell,10.89,4041.76,244722.1
F01045,Tamil Nadu,banana,Rabi,1.23,39,Drip,13.03,2524.57,40461.03
F02703,Gujarat,blackgram,Zaid,0.65,7,Rain-fed,29.04,500.0,9438.0
F01889,Uttar Pradesh,blackgram,Rabi,1.28,16,Rain-fed,21.15,2828.58,76575.32
F00678,West Bengal,watermelon,Rabi,5.25,22,Canal,14.05,1178.67,86941.65
F02724,West Bengal,banana,Rabi,0.84,29,Canal,15.03,3011.84,38025.08
F04491,Andhra Pradesh,mango,Kharif,1.04,9,Rain-fed,17.16,2603.22,46458.11
F04752,Tamil Nadu,blackgram,Zaid,0.91,8,Rain-fed,22.1,2223.42,44715.2
F01420,Haryana,pomegranate,Rabi,4.78,3,Canal,15.3,2285.99,167183.59
F00291,Uttar Pradesh,maize,Rabi,3.04,3,Canal,17.02,1658.75,85825.05
F00009,Karnataka,pigeonpeas,Zaid,1.84,18,Rain-fed,20.68,2417.89,92003.62
F05141,Haryana,muskmelon,Kharif,4.45,8,Sprinkler,3.48,1255.7,19445.77
F04739,Maharashtra,chickpea,Zaid,2.89,6,Canal,14.53,3196.21,134214.29
F01768,Bihar,watermelon,Kharif,1.07,20,Sprinkler,8.17,2529.72,22114.56
F01033,West Bengal,coconut,Kharif,1.75,10,Drip,18.64,1183.07,38591.74
F04452,Andhra Pradesh,watermelon,Rabi,1.31,16,Borewell,9.5,2777.83,34570.09
F04947,Punjab,orange,Rabi,4.55,12,Drip,17.75,2665.29,215255.48
F01600,Tamil Nadu,banana,Rabi,2.31,14,Canal,18.17,3336.51,140042.33
F00788,Madhya Pradesh,orange,Zaid,3.28,13,Rain-fed,19.6,2399.33,154248.13
F00427,Rajasthan,coconut,Rabi,1.35,32,Drip,17.17,2386.89,55326.92
F04302,Uttar Pradesh,coconut,Kharif,1.85,0,Borewell,24.71,1442.06,65921.61
F02618,Bihar,jute,Zaid,2.05,14,Rain-fed,15.68,2226.69,71574.72
F00158,Bihar,jute,Zaid,4.19,17,Borewell,9.68,2641.86,107151.73
F00240,Rajasthan,maize,Kharif,5.38,0,Canal,9.73,3127.91,163737.96
F01331,Madhya Pradesh,kidneybeans,Rabi,1.26,13,Rain-fed,13.12,2082.09,34419.45
F01658,Rajasthan,maize,Rabi,2.41,20,Canal,14.99,2698.97,97502.72
F01833,Punjab,jute,Kharif,1.31,10,Rain-fed,23.29,2335.57,71258.01
F05017,Gujarat,coconut,Zaid,6.69,18,Rain-fed,25.7,1989.91,342131.2
F00108,Andhra Pradesh,pomegranate,Rabi,3.84,17,Drip,19.1,2587.24,189758.53
F04354,Uttar Pradesh,kidneybeans,Rabi,2.76,14,Rain-fed,18.76,1906.75,98726.94
F00180,Maharashtra,rice,Rabi,5.16,14,Rain-fed,30.07,2064.3,320299.27
F00334,Maharashtra,papaya,Kharif,0.25,10,Sprinkler,23.74,1248.34,7408.9
F04280,Andhra Pradesh,grapes,Rabi,1.71,31,Canal,16.61,1879.23,53375.96
F03025,Rajasthan,jute,Zaid,3.6,9,Sprinkler,16.27,1640.63,96094.98
F00656,Bihar,mothbeans,Rabi,6.12,12,Rain-fed,15.41,1954.96,184370.71
F00168,Haryana,maize,Kharif,7.67,25,Borewell,26.05,3459.46,691212.22
F00081,Gujarat,orange,Rabi,4.03,11,Borewell,20.7,1449.75,120939.59
F01502,Bihar,papaya,Kharif,2.93,8,Canal,8.55,1998.74,50071.44
F04239,Madhya Pradesh,coconut,Rabi,2.81,29,Sprinkler,29.19,2026.73,166240.3
F02868,Maharashtra,mungbean,Zaid,6.9,13,Borewell,21.95,2468.71,373898.47
F04322,Karnataka,pomegranate,Kharif,1.4,27,Borewell,20.41,1572.42,44930.33
F02099,Maharashtra,orange,Kharif,4.41,15,Sprinkler,18.55,2959.56,242108.29
F00752,Andhra Pradesh,chickpea,Zaid,10.65,4,Drip,28.95,2377.49,733021.77
F03354,Bihar,lentil,Kharif,4.4,26,Drip,16.04,2661.02,187804.15
F01341,Haryana,maize,Zaid,1.14,8,Canal,20.39,2333.62,54244.06
F04208,Punjab,pigeonpeas,Zaid,6.4,11,Sprinkler,12.44,1949.27,155193.08
F05091,Haryana,pomegranate,Rabi,2.35,24,Sprinkler,5.4,3358.05,42613.65
F02488,Tamil Nadu,rice,Zaid,2.58,27,Borewell,13.36,2360.78,81373.25
F02499,Maharashtra,grapes,Kharif,3.69,0,Drip,7.51,1731.02,47969.85
F00352,Punjab,maize,Zaid,5.7,14,Rain-fed,14.51,1834.69,151741.71
F03650,Haryana,chickpea,Rabi,11.57,18,Canal,24.76,2444.55,700298.06
F04321,Karnataka,orange,Rabi,4.07,19,Canal,19.5,2186.64,173542.68
F03140,Andhra Pradesh,jute,Rabi,0.97,3,Drip,15.42,2741.77,41009.75
F00531,West Bengal,pigeonpeas,Rabi,0.95,19,Sprinkler,16.66,2165.45,34272.58
F04399,Karnataka,lentil,Zaid,0.52,13,Drip,16.47,2559.96,21924.52
F01790,West Bengal,maize,Rabi,4.49,6,Canal,5.45,2868.0,70181.39
F04163,Bihar,cotton,Rabi,1.74,32,Drip,24.31,1223.1,51736.4
F03902,Punjab,cotton,Zaid,1.86,19,Borewell,20.19,2137.32,80263.63
F04649,Madhya Pradesh,coffee,Zaid,3.46,9,Canal,10.26,1807.51,64165.88
F02105,Punjab,jute,Kharif,1.3,8,Drip,19.96,2207.74,57286.44
F03701,Madhya Pradesh,jute,Kharif,2.15,14,Sprinkler,28.52,1630.16,99958.15
F03394,Madhya Pradesh,apple,Zaid,1.92,8,Drip,13.48,1414.82,36617.81
F02155,Karnataka,coconut,Zaid,4.32,16,Drip,20.36,2817.45,247809.38
F03183,Gujarat,pomegranate,Zaid,2.46,24,Rain-fed,12.59,2552.75,79062.24
F03787,Karnataka,blackgram,Kharif,2.82,2,Drip,14.73,2590.6,107609.9
F03271,Madhya Pradesh,maize,Rabi,3.19,11,Rain-fed,20.12,2843.09,182477.48
F01380,Haryana,coffee,Kharif,2.42,16,Canal,15.22,2437.38,89774.56
F02663,Bihar,rice,Zaid,5.82,11,Rain-fed,12.03,2560.67,179284.29
F04174,Punjab,muskmelon,Rabi,5.63,23,Drip,9.54,1379.31,74083.02
F00411,Tamil Nadu,banana,Zaid,3.45,11,Canal,11.71,3260.41,131718.93
F01076,West Bengal,jute,Rabi,1.99,3,Drip,12.97,2564.6,66193.1
F03500,West Bengal,chickpea,Rabi,2.79,5,Canal,21.36,1807.82,107735.95
F01210,Uttar Pradesh,watermelon,Kharif,1.92,21,Canal,16.52,777.09,24648.05
F01375,Gujarat,kidneybeans,Zaid,0.25,6,Borewell,22.48,3087.23,17350.23
F01097,Uttar Pradesh,papaya,Zaid,1.93,23,Borewell,25.17,2783.78,135230.74
F00255,Madhya Pradesh,rice,Rabi,1.2,0,Drip,12.7,2837.49,43243.35
F02963,Andhra Pradesh,maize,Zaid,4.17,0,Sprinkler,16.37,2775.8,189484.16
F01118,Maharashtra,mothbeans,Rabi,1.78,10,Borewell,16.99,1803.58,54544.23
F04822,Andhra Pradesh,apple,Zaid,1.2,18,Drip,20.01,2214.75,53180.58
F03825,Rajasthan,blackgram,Rabi,3.83,10,Borewell,23.55,2436.46,219760.16
F01293,Gujarat,coffee,Kharif,4.09,5,Rain-fed,9.15,2257.88,84497.77
F05020,Gujarat,watermelon,Zaid,0.62,15,Borewell,13.32,2627.35,21697.71
F04996,Gujarat,maize,Rabi,0.25,8,Canal,19.91,1206.57,6005.7
F03332,Karnataka,blackgram,Zaid,2.85,27,Borewell,5.32,1422.84,21573.1
F04512,Karnataka,watermelon,Kharif,0.53,11,Rain-fed,13.67,2285.06,16555.49
F03903,Andhra Pradesh,muskmelon,Zaid,0.86,8,Drip,18.33,3234.17,50982.81
F04024,Haryana,banana,Rabi,1.64,5,Rain-fed,16.33,2973.16,79624.79
F00200,Maharashtra,watermelon,Kharif,0.48,8,Sprinkler,16.65,1992.57,15924.62
F04863,West Bengal,papaya,Kharif,0.8,14,Canal,21.9,1376.28,24112.43
F03313,Karnataka,mango,Rabi,4.04,11,Canal,16.33,2491.74,164388.06
F02708,Gujarat,mango,Kharif,3.2,20,Drip,19.4,3465.31,215126.44
F04295,Karnataka,pomegranate,Rabi,5.59,22,Borewell,17.29,2865.81,276983.69
F04718,Maharashtra,watermelon,Zaid,0.31,4,Borewell,21.62,1446.43,9694.26
