crop,temperature,humidity,rainfall,leaf_wetness_hours,risk_score,risk_level,disease_name
rice,23.56,85.77,286.69,4.45,0.697,High,Rice Blast
pigeonpeas,25.12,79.27,53.78,5.99,0.615,Medium,Sterility Mosaic
mothbeans,30.18,83.21,74.11,8.75,0.6,Medium,Powdery Mildew
papaya,30.4,92.06,60.04,0.0,0.478,Medium,Powdery Mildew
orange,31.63,83.38,70.63,9.32,0.566,Medium,Citrus Canker
mothbeans,30.99,52.51,25.55,16.68,0.617,Medium,Yellow Mosaic Virus
kidneybeans,30.52,84.16,103.68,4.08,0.579,Medium,Bean Rust
grapes,23.15,57.87,119.35,5.39,0.499,Medium,Downy Mildew
banana,27.74,77.88,19.75,12.2,0.589,Medium,Panama Wilt
pigeonpeas,25.31,82.46,53.94,0.0,0.542,Medium,Sterility Mosaic
kidneybeans,29.93,74.35,213.03,9.27,0.622,Medium,Angular Leaf Spot
pomegranate,29.62,65.42,60.16,9.16,0.586,Medium,Fruit Rot
papaya,24.17,72.96,239.93,3.75,0.592,Medium,Powdery Mildew
maize,24.72,76.22,11.17,3.75,0.466,Medium,Common Rust
pomegranate,24.69,99.17,101.33,5.98,0.575,Medium,Fruit Rot
banana,39.41,75.76,228.56,11.86,0.486,Medium,Panama Wilt
coffee,33.84,58.44,32.72,7.91,0.465,Medium,Berry Disease
lentil,29.5,66.03,48.4,13.65,0.556,Medium,Rust
mango,25.95,62.66,172.64,0.36,0.377,Medium,Anthracnose
pomegranate,25.32,84.49,62.41,12.94,0.587,Medium,Fruit Rot
pomegranate,32.02,78.87,88.25,7.56,0.538,Medium,Bacterial Blight
jute,26.57,81.2,54.71,6.53,0.464,Medium,Stem Rot
grapes,38.54,73.68,145.91,8.16,0.501,Medium,Powdery Mildew
lentil,23.77,76.62,56.36,15.24,0.614,Medium,Rust
mungbean,28.35,72.2,82.47,11.7,0.595,Medium,Cercospora Leaf Spot
grapes,27.14,74.45,135.93,5.42,0.541,Medium,Powdery Mildew
maize,24.33,85.67,63.62,0.71,0.563,Medium,Gray Leaf Spot
chickpea,25.23,84.61,111.97,6.82,0.601,Medium,Fusarium Wilt
jute,32.07,52.61,60.18,9.01,0.476,Medium,Stem Rot
blackgram,31.6,51.81,23.75,6.86,0.478,Medium,Yellow Mosaic Virus
watermelon,23.1,88.28,67.1,0.0,0.46,Medium,Fusarium Wilt
coconut,22.9,38.15,82.75,3.37,0.269,Low,Healthy
mungbean,35.64,76.37,214.94,6.36,0.577,Medium,Cercospora Leaf Spot
blackgram,27.04,77.82,50.66,11.55,0.509,Medium,Leaf Crinkle
orange,27.7,88.52,224.43,7.25,0.549,Medium,Greening (HLB)
orange,37.93,65.66,133.13,11.31,0.467,Medium,Citrus Canker
mango,20.68,88.96,274.9,5.4,0.684,High,Powdery Mildew
muskmelon,26.14,100.0,250.52,7.45,0.697,High,Downy Mildew
blackgram,28.62,100.0,115.8,4.05,0.676,High,Yellow Mosaic Virus
banana,25.27,64.21,84.57,15.07,0.611,Medium,Sigatoka Leaf Spot
maize,17.13,78.29,99.45,6.15,0.529,Medium,Gray Leaf Spot
rice,29.0,64.13,73.47,6.57,0.519,Medium,Sheath Blight
lentil,23.92,78.45,213.67,13.83,0.731,High,Rust
blackgram,28.42,65.73,17.34,10.89,0.531,Medium,Leaf Crinkle
pomegranate,31.4,71.64,230.76,2.57,0.517,Medium,Fruit Rot
cotton,31.23,74.96,134.51,12.31,0.632,Medium,Leaf Curl Virus
kidneybeans,30.13,78.05,66.76,8.5,0.525,Medium,Angular Leaf Spot
banana,19.16,91.25,117.04,11.96,0.652,High,Panama Wilt
mungbean,31.15,91.76,147.38,10.01,0.662,High,Yellow Mosaic Virus
apple,27.9,73.4,232.69,11.47,0.642,Medium,Fire Blight
coconut,19.77,87.65,297.55,10.56,0.74,High,Leaf Blight
pomegranate,24.53,85.61,78.15,9.45,0.604,Medium,Bacterial Blight
chickpea,26.31,75.9,204.03,7.06,0.611,Medium,Ascochyta Blight
mungbean,25.09,63.86,39.37,8.11,0.456,Medium,Cercospora Leaf Spot
pigeonpeas,29.13,61.98,157.59,14.52,0.651,High,Sterility Mosaic
rice,30.31,79.62,149.6,16.14,0.682,High,Bacterial Leaf Blight
coconut,22.5,86.02,15.59,0.62,0.417,Medium,Leaf Blight
pigeonpeas,22.94,84.11,61.47,8.24,0.632,Medium,Sterility Mosaic
pigeonpeas,33.28,78.29,83.46,0.0,0.421,Medium,Fusarium Wilt
kidneybeans,12.07,81.54,40.67,7.25,0.484,Medium,Bean Rust
maize,25.6,68.86,252.49,4.81,0.58,Medium,Gray Leaf Spot
grapes,20.46,70.38,165.43,9.06,0.583,Medium,Powdery Mildew
banana,24.56,89.04,129.79,11.21,0.53,Medium,Sigatoka Leaf Spot
papaya,32.57,99.33,123.63,7.15,0.634,Medium,Powdery Mildew
blackgram,24.08,82.3,5.87,12.67,0.575,Medium,Leaf Crinkle
papaya,28.4,100.0,99.38,9.92,0.703,High,Powdery Mildew
coffee,27.88,79.97,284.98,4.41,0.694,High,Berry Disease
pigeonpeas,32.83,77.23,23.17,8.78,0.452,Medium,Sterility Mosaic
maize,34.75,69.77,108.02,16.43,0.582,Medium,Common Rust
mungbean,24.22,93.42,240.55,4.63,0.589,Medium,Yellow Mosaic Virus
kidneybeans,29.85,91.95,191.55,3.31,0.563,Medium,Bean Rust
orange,19.57,78.18,118.12,5.65,0.475,Medium,Citrus Canker
coconut,27.32,70.75,185.92,1.69,0.565,Medium,Bud Rot
mungbean,26.9,62.53,29.98,4.12,0.435,Medium,Yellow Mosaic Virus
mango,30.07,92.94,18.05,15.4,0.688,High,Anthracnose
mungbean,20.41,70.83,292.35,6.87,0.7,High,Yellow Mosaic Virus
coffee,24.72,76.05,26.38,3.3,0.485,Medium,Coffee Leaf Rust
pigeonpeas,28.65,65.02,100.35,1.25,0.425,Medium,Fusarium Wilt
mothbeans,26.1,62.01,136.44,8.8,0.546,Medium,Powdery Mildew
orange,18.04,69.08,22.22,9.3,0.476,Medium,Greening (HLB)
jute,26.11,73.0,60.31,10.2,0.487,Medium,Anthracnose
papaya,25.27,61.75,142.73,8.6,0.49,Medium,Powdery Mildew
maize,30.85,86.61,151.65,7.34,0.578,Medium,Common Rust
lentil,13.51,71.39,175.73,8.59,0.502,Medium,Rust
cotton,25.83,66.31,202.84,8.63,0.509,Medium,Leaf Curl Virus
kidneybeans,23.76,80.94,59.03,7.79,0.468,Medium,Bean Rust
apple,27.65,60.82,39.52,2.34,0.423,Medium,Apple Scab
coffee,29.93,76.1,81.85,8.79,0.546,Medium,Coffee Leaf Rust
coffee,22.77,80.88,62.5,4.49,0.445,Medium,Coffee Leaf Rust
mungbean,29.09,57.55,66.07,12.28,0.543,Medium,Cercospora Leaf Spot
apple,33.65,84.83,97.62,11.03,0.633,Medium,Apple Scab
mungbean,41.13,69.06,66.38,15.26,0.593,Medium,Yellow Mosaic Virus
cotton,29.43,62.71,52.9,9.53,0.468,Medium,Leaf Curl Virus
muskmelon,31.03,81.54,144.46,13.33,0.574,Medium,Powdery Mildew
apple,21.96,82.83,13.06,6.43,0.499,Medium,Apple Scab
rice,28.68,80.1,41.59,7.77,0.543,Medium,Rice Blast
pomegranate,28.66,61.91,62.71,7.15,0.478,Medium,Bacterial Blight
mothbeans,18.13,73.9,140.01,13.38,0.555,Medium,Powdery Mildew
mothbeans,30.53,79.28,13.99,5.8,0.447,Medium,Yellow Mosaic Virus
rice,27.04,84.54,114.63,12.91,0.743,High,Sheath Blight
pigeonpeas,27.04,64.76,130.37,7.71,0.535,Medium,Sterility Mosaic
chickpea,20.11,69.35,56.44,5.66,0.491,Medium,Ascochyta Blight
mango,31.55,67.95,39.59,4.83,0.516,Medium,Anthracnose
muskmelon,23.08,91.33,28.95,15.5,0.763,High,Powdery Mildew
maize,32.89,64.23,41.12,11.31,0.437,Medium,Common Rust
pigeonpeas,32.14,61.78,39.09,6.56,0.378,Medium,Sterility Mosaic
banana,30.49,86.73,139.5,6.88,0.629,Medium,Panama Wilt
blackgram,27.54,100.0,289.36,9.11,0.607,Medium,Leaf Crinkle
kidneybeans,22.03,77.72,200.76,8.67,0.563,Medium,Angular Leaf Spot
coconut,30.86,80.44,44.38,10.34,0.556,Medium,Bud Rot
watermelon,25.31,72.87,175.31,3.76,0.542,Medium,Fusarium Wilt
rice,24.96,58.22,21.76,6.89,0.41,Medium,Sheath Blight
pomegranate,17.2,65.64,11.37,12.79,0.432,Medium,Bacterial Blight
coffee,20.88,86.17,173.24,12.9,0.637,Medium,Berry Disease
coffee,29.02,73.37,177.3,13.71,0.655,High,Berry Disease
kidneybeans,33.28,75.36,82.25,10.49,0.511,Medium,Bean Rust
mungbean,23.03,78.6,88.59,10.41,0.632,Medium,Yellow Mosaic Virus
mothbeans,29.05,68.32,97.48,11.81,0.579,Medium,Yellow Mosaic Virus
mothbeans,34.35,75.36,31.58,8.56,0.439,Medium,Yellow Mosaic Virus
coconut,19.76,81.59,76.68,4.01,0.494,Medium,Leaf Blight
mungbean,31.19,76.68,61.86,9.64,0.542,Medium,Cercospora Leaf Spot
maize,29.9,90.61,157.53,12.99,0.833,High,Gray Leaf Spot
jute,33.84,62.24,30.57,8.93,0.491,Medium,Anthracnose
mothbeans,19.88,90.46,112.06,6.36,0.561,Medium,Yellow Mosaic Virus
maize,23.28,74.34,220.19,7.66,0.629,Medium,Maize Leaf Blight
blackgram,34.44,96.9,226.94,9.32,0.705,High,Leaf Crinkle
lentil,26.46,100.0,72.99,1.5,0.538,Medium,Wilt
coffee,20.14,87.07,95.13,16.14,0.701,High,Coffee Leaf Rust
jute,24.97,71.54,84.1,2.5,0.407,Medium,Anthracnose
papaya,25.45,61.41,30.0,7.84,0.472,Medium,Papaya Ring Spot Virus
grapes,24.64,79.67,50.24,10.16,0.525,Medium,Powdery Mildew
coffee,31.32,79.77,75.0,6.54,0.519,Medium,Berry Disease
mango,14.05,79.58,79.19,9.58,0.554,Medium,Anthracnose
grapes,16.32,76.82,159.01,8.75,0.579,Medium,Downy Mildew
maize,24.83,49.98,133.26,0.0,0.421,Medium,Common Rust
lentil,32.08,83.13,110.76,4.42,0.533,Medium,Rust
apple,26.18,58.95,256.06,10.26,0.573,Medium,Fire Blight
maize,30.3,80.98,108.13,11.07,0.546,Medium,Gray Leaf Spot
mango,21.92,30.6,53.67,5.9,0.28,Low,Healthy
chickpea,25.13,88.27,76.62,11.91,0.609,Medium,Fusarium Wilt
grapes,30.69,67.44,65.83,2.93,0.452,Medium,Powdery Mildew
cotton,27.27,65.02,75.29,6.09,0.475,Medium,Leaf Curl Virus
orange,24.34,83.0,85.45,12.62,0.616,Medium,Greening (HLB)
coconut,31.83,92.94,65.09,3.26,0.519,Medium,Leaf Blight
cotton,32.18,87.16,122.36,5.47,0.558,Medium,Leaf Curl Virus
grapes,25.8,71.07,173.29,5.79,0.549,Medium,Downy Mildew
pomegranate,30.22,78.8,140.91,3.72,0.454,Medium,Bacterial Blight
blackgram,27.42,54.82,129.83,4.5,0.403,Medium,Leaf Crinkle
rice,18.63,69.16,95.89,8.52,0.549,Medium,Bacterial Leaf Blight
mungbean,27.81,58.78,73.28,17.22,0.549,Medium,Yellow Mosaic Virus
pigeonpeas,24.01,81.81,10.49,0.0,0.414,Medium,Sterility Mosaic
apple,21.29,64.71,335.78,4.72,0.597,Medium,Apple Scab
pigeonpeas,25.17,61.74,16.19,2.18,0.36,Medium,Sterility Mosaic
pigeonpeas,24.05,73.32,37.13,17.64,0.649,Medium,Sterility Mosaic
orange,29.51,55.38,42.34,4.81,0.384,Medium,Greening (HLB)
coconut,27.53,78.14,117.99,8.62,0.633,Medium,Bud Rot
grapes,36.97,86.95,155.73,6.54,0.471,Medium,Downy Mildew
apple,27.7,66.58,194.48,10.27,0.563,Medium,Apple Scab
mothbeans,32.46,66.78,253.33,9.74,0.608,Medium,Yellow Mosaic Virus
cotton,28.26,66.88,115.32,0.0,0.467,Medium,Bacterial Blight
grapes,21.45,66.71,311.27,4.65,0.544,Medium,Powdery Mildew
maize,27.34,76.38,113.07,3.66,0.526,Medium,Common Rust
chickpea,21.72,85.07,96.18,5.01,0.518,Medium,Fusarium Wilt
lentil,25.78,63.41,206.29,8.73,0.575,Medium,Wilt
mothbeans,30.84,68.13,33.44,13.6,0.563,Medium,Yellow Mosaic Virus
watermelon,16.97,83.59,153.44,4.66,0.442,Medium,Fusarium Wilt
muskmelon,24.29,86.6,54.61,10.72,0.652,High,Powdery Mildew
banana,31.31,83.35,61.6,7.9,0.559,Medium,Sigatoka Leaf Spot
chickpea,34.34,84.44,97.02,4.94,0.486,Medium,Ascochyta Blight
jute,34.81,86.97,16.36,7.46,0.487,Medium,Anthracnose
mungbean,22.48,62.68,84.53,9.18,0.406,Medium,Cercospora Leaf Spot
cotton,23.55,64.44,82.94,7.82,0.5,Medium,Bacterial Blight
mango,17.71,84.72,24.83,7.54,0.431,Medium,Powdery Mildew
maize,28.22,65.14,278.39,8.5,0.6,Medium,Common Rust
blackgram,28.54,77.24,148.67,2.59,0.531,Medium,Leaf Crinkle
maize,21.53,87.32,12.79,7.78,0.469,Medium,Gray Leaf Spot
apple,24.73,60.65,42.35,0.0,0.423,Medium,Fire Blight
pigeonpeas,25.21,69.55,28.11,7.28,0.472,Medium,Sterility Mosaic
chickpea,26.79,87.04,209.07,10.38,0.676,High,Fusarium Wilt
blackgram,24.48,84.76,202.25,7.53,0.708,High,Leaf Crinkle
pigeonpeas,30.06,83.05,68.89,4.96,0.559,Medium,Fusarium Wilt
kidneybeans,26.48,56.91,11.25,4.99,0.458,Medium,Angular Leaf Spot
watermelon,21.53,80.03,76.17,11.25,0.598,Medium,Fusarium Wilt
pomegranate,39.72,74.56,37.38,7.31,0.442,Medium,Bacterial Blight
banana,27.55,78.59,143.38,4.62,0.603,Medium,Sigatoka Leaf Spot
muskmelon,17.01,53.08,121.64,2.8,0.362,Medium,Powdery Mildew
jute,33.36,84.78,69.33,10.4,0.63,Medium,Stem Rot
orange,24.42,64.14,280.71,11.32,0.662,High,Citrus Canker
coconut,25.42,62.84,134.08,11.89,0.587,Medium,Leaf Blight
watermelon,32.25,73.06,51.23,11.26,0.643,Medium,Fusarium Wilt
muskmelon,19.72,73.66,48.38,4.25,0.385,Medium,Downy Mildew
cotton,31.91,71.18,18.1,7.87,0.401,Medium,Bacterial Blight
maize,26.34,77.73,282.19,10.9,0.754,High,Maize Leaf Blight
kidneybeans,26.06,72.18,100.82,14.59,0.659,High,Angular Leaf Spot
rice,26.04,91.85,69.49,8.53,0.62,Medium,Bacterial Leaf Blight
mango,32.99,86.73,93.56,15.13,0.642,Medium,Anthracnose
mango,33.28,74.65,48.1,13.52,0.549,Medium,Anthracnose
pigeonpeas,21.56,71.53,68.09,11.8,0.512,Medium,Fusarium Wilt
banana,20.49,72.64,12.51,7.99,0.456,Medium,Panama Wilt
pomegranate,26.64,64.74,123.27,6.24,0.548,Medium,Bacterial Blight
coffee,26.73,75.18,82.11,7.07,0.6,Medium,Coffee Leaf Rust
papaya,21.9,61.57,233.47,6.63,0.384,Medium,Powdery Mildew
lentil,27.86,68.83,13.04,6.13,0.464,Medium,Rust
watermelon,30.12,62.89,111.81,7.1,0.59,Medium,Anthracnose
watermelon,28.39,66.99,92.01,3.18,0.501,Medium,Anthracnose
maize,20.87,93.01,134.48,7.32,0.601,Medium,Gray Leaf Spot
apple,21.45,69.71,299.68,7.86,0.643,Medium,Apple Scab
coffee,31.99,72.46,189.75,0.0,0.435,Medium,Coffee Leaf Rust
coconut,25.72,81.28,126.58,3.74,0.555,Medium,Bud Rot
mothbeans,21.4,79.19,99.75,4.32,0.529,Medium,Yellow Mosaic Virus
pomegranate,27.09,89.67,122.61,2.45,0.651,High,Bacterial Blight
coffee,28.21,75.19,147.38,18.7,0.737,High,Coffee Leaf Rust
mothbeans,18.5,74.95,400.0,5.78,0.659,High,Yellow Mosaic Virus
watermelon,22.62,72.53,218.18,9.84,0.558,Medium,Anthracnose
jute,26.04,89.81,60.38,12.55,0.559,Medium,Stem Rot
coffee,21.43,93.55,400.0,12.98,0.725,High,Berry Disease
maize,18.12,87.23,219.46,6.12,0.584,Medium,Maize Leaf Blight
coconut,25.52,72.7,23.02,11.79,0.574,Medium,Leaf Blight
rice,25.04,76.68,49.15,4.24,0.453,Medium,Bacterial Leaf Blight
lentil,26.19,77.4,75.67,7.26,0.548,Medium,Wilt
cotton,25.0,66.89,50.12,0.0,0.308,Low,Healthy
chickpea,25.15,79.1,57.76,4.49,0.485,Medium,Fusarium Wilt
pigeonpeas,28.28,65.55,120.37,3.45,0.513,Medium,Sterility Mosaic
pomegranate,27.96,62.41,49.67,1.79,0.432,Medium,Bacterial Blight
apple,34.21,73.08,93.43,12.13,0.529,Medium,Apple Scab
mothbeans,28.57,58.24,145.85,10.51,0.524,Medium,Powdery Mildew
watermelon,26.33,68.8,209.02,6.18,0.537,Medium,Fusarium Wilt
maize,21.91,85.39,168.14,6.39,0.541,Medium,Gray Leaf Spot
blackgram,29.17,74.76,37.42,6.81,0.516,Medium,Yellow Mosaic Virus
pigeonpeas,28.9,89.87,28.33,12.13,0.61,Medium,Sterility Mosaic
maize,17.11,71.86,104.44,7.86,0.5,Medium,Maize Leaf Blight
mothbeans,26.73,100.0,85.66,10.59,0.71,High,Powdery Mildew
watermelon,30.6,71.35,175.95,7.71,0.559,Medium,Fusarium Wilt
maize,22.46,75.44,10.75,11.05,0.518,Medium,Maize Leaf Blight
papaya,28.69,77.69,83.14,10.43,0.593,Medium,Papaya Ring Spot Virus
chickpea,17.94,78.22,167.36,9.69,0.561,Medium,Fusarium Wilt
pigeonpeas,37.36,75.36,80.91,12.33,0.512,Medium,Sterility Mosaic
mungbean,29.0,65.99,26.98,16.75,0.624,Medium,Yellow Mosaic Virus
lentil,31.46,75.78,34.83,1.46,0.44,Medium,Wilt
mothbeans,21.83,84.17,99.78,8.8,0.492,Medium,Yellow Mosaic Virus
rice,31.58,73.69,81.66,2.83,0.476,Medium,Rice Blast
jute,27.51,66.93,38.54,15.64,0.597,Medium,Stem Rot
blackgram,26.81,59.26,113.63,10.22,0.482,Medium,Yellow Mosaic Virus
rice,26.79,75.94,56.14,19.66,0.6,Medium,Bacterial Leaf Blight
kidneybeans,17.8,57.2,160.67,12.9,0.449,Medium,Bean Rust
coconut,22.55,78.06,87.1,11.46,0.472,Medium,Leaf Blight
orange,32.89,57.03,49.99,9.06,0.389,Medium,Greening (HLB)
lentil,29.98,74.8,33.81,8.7,0.427,Medium,Wilt
lentil,22.81,84.45,70.65,10.15,0.54,Medium,Wilt
cotton,37.45,45.31,265.23,0.38,0.49,Medium,Leaf Curl Virus
lentil,24.53,80.03,156.09,4.61,0.526,Medium,Wilt
coffee,27.13,65.86,137.64,8.28,0.545,Medium,Coffee Leaf Rust
apple,26.6,85.15,136.75,11.16,0.57,Medium,Apple Scab
apple,43.01,45.49,125.48,7.28,0.401,Medium,Apple Scab
pigeonpeas,17.32,76.6,42.85,9.92,0.581,Medium,Fusarium Wilt
apple,24.01,73.39,44.52,9.08,0.527,Medium,Apple Scab
papaya,30.95,75.43,58.94,6.5,0.505,Medium,Powdery Mildew
pigeonpeas,32.44,77.51,255.98,6.85,0.677,High,Fusarium Wilt
papaya,32.07,81.31,262.9,10.63,0.656,High,Powdery Mildew
pigeonpeas,16.18,73.97,135.29,11.84,0.546,Medium,Fusarium Wilt
orange,35.5,71.97,137.96,10.1,0.555,Medium,Greening (HLB)
rice,23.09,47.16,42.39,7.2,0.46,Medium,Rice Blast
watermelon,28.34,58.86,57.32,14.02,0.595,Medium,Anthracnose
rice,34.31,61.72,45.47,6.42,0.428,Medium,Rice Blast
pomegranate,29.13,68.01,139.64,5.51,0.586,Medium,Fruit Rot
pomegranate,29.53,92.28,117.14,7.58,0.638,Medium,Fruit Rot
chickpea,31.68,56.46,78.3,10.2,0.423,Medium,Fusarium Wilt
rice,20.12,67.46,53.51,11.24,0.508,Medium,Bacterial Leaf Blight
kidneybeans,34.25,84.25,72.68,7.59,0.537,Medium,Bean Rust
mango,25.95,67.67,96.25,9.68,0.649,Medium,Powdery Mildew
mothbeans,17.63,84.36,21.65,10.06,0.583,Medium,Powdery Mildew
banana,31.01,64.86,82.53,14.07,0.507,Medium,Sigatoka Leaf Spot
coconut,37.27,78.02,89.76,6.18,0.47,Medium,Leaf Blight
cotton,28.65,63.69,90.83,7.87,0.567,Medium,Leaf Curl Virus
banana,33.25,87.46,11.54,7.16,0.526,Medium,Panama Wilt
cotton,30.5,88.58,66.55,7.32,0.521,Medium,Leaf Curl Virus
pigeonpeas,17.81,65.39,52.49,11.88,0.442,Medium,Fusarium Wilt
watermelon,26.55,67.08,188.68,8.96,0.53,Medium,Anthracnose
coconut,26.61,84.93,76.38,8.39,0.608,Medium,Leaf Blight
coconut,19.99,76.24,216.85,17.25,0.728,High,Leaf Blight
coconut,25.28,80.99,89.81,7.29,0.519,Medium,Bud Rot
maize,25.42,89.14,116.24,8.68,0.605,Medium,Maize Leaf Blight
jute,35.27,61.93,174.54,2.92,0.384,Medium,Anthracnose
kidneybeans,19.56,77.87,146.25,9.99,0.606,Medium,Bean Rust
pigeonpeas,31.63,100.0,117.14,12.14,0.654,High,Sterility Mosaic
lentil,30.34,70.86,187.4,12.69,0.631,Medium,Rust
watermelon,25.46,65.52,130.14,3.46,0.524,Medium,Fusarium Wilt
cotton,24.16,54.27,105.88,14.7,0.565,Medium,Bacterial Blight
grapes,25.7,83.84,95.17,12.89,0.597,Medium,Downy Mildew
maize,33.3,73.57,45.7,8.8,0.487,Medium,Common Rust
lentil,19.99,70.84,28.68,8.05,0.448,Medium,Wilt
chickpea,20.16,96.49,58.36,10.57,0.644,Medium,Ascochyta Blight
mungbean,24.29,86.61,122.99,7.53,0.554,Medium,Yellow Mosaic Virus
mungbean,24.41,68.24,67.61,6.97,0.477,Medium,Yellow Mosaic Virus
pigeonpeas,29.1,46.9,35.85,2.75,0.376,Medium,Fusarium Wilt
cotton,34.27,68.17,84.45,11.05,0.527,Medium,Leaf Curl Virus
kidneybeans,29.36,76.83,175.34,20.72,0.76,High,Bean Rust
jute,35.24,100.0,79.4,12.12,0.706,High,Anthracnose
chickpea,25.99,99.45,16.19,12.85,0.588,Medium,Ascochyta Blight
lentil,27.72,73.77,277.99,9.16,0.619,Medium,Wilt
banana,27.1,62.24,170.76,12.68,0.592,Medium,Sigatoka Leaf Spot
chickpea,25.12,100.0,70.4,0.9,0.606,Medium,Fusarium Wilt
kidneybeans,28.03,65.69,135.27,2.42,0.507,Medium,Angular Leaf Spot
maize,32.36,82.24,90.26,3.36,0.497,Medium,Gray Leaf Spot
lentil,26.11,84.65,145.04,10.7,0.669,High,Rust
pigeonpeas,29.98,83.11,311.8,5.62,0.6,Medium,Fusarium Wilt
coconut,33.79,70.92,80.5,8.32,0.543,Medium,Leaf Blight
cotton,26.91,67.83,66.79,10.99,0.483,Medium,Bacterial Blight
rice,28.7,78.79,135.22,0.0,0.466,Medium,Rice Blast
rice,31.02,95.65,26.6,3.84,0.547,Medium,Rice Blast
jute,26.59,69.36,71.61,2.97,0.486,Medium,Stem Rot
rice,23.35,79.54,139.31,8.95,0.669,High,Bacterial Leaf Blight
lentil,35.97,92.53,49.92,8.91,0.489,Medium,Wilt
